Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 346.168000
         233408533 function calls (232510377 primitive calls) in 371.927 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16396    0.083    0.000    0.906    0.000 base.py:674(_with_infer)
   259199    0.385    0.000    0.887    0.000 {method 'clip' of 'numpy.generic' objects}
    36250    0.019    0.000    0.880    0.000 variable.py:704(<genexpr>)
    23303    0.008    0.000    0.856    0.000 pycompat.py:95(is_0d_dask_array)
    64743    0.284    0.000    0.854    0.000 construction.py:517(sanitize_array)
    19567    0.034    0.000    0.852    0.000 variable.py:784(__getitem__)
    38820    0.153    0.000    0.837    0.000 duck_array_ops.py:223(as_shared_dtype)
305284/282546    0.231    0.000    0.820    0.000 {built-in method numpy.asarray}
    39694    0.110    0.000    0.817    0.000 indexes.py:687(create_variables)
    16395    0.129    0.000    0.815    0.000 alignment.py:242(find_matching_indexes)
    12945    0.033    0.000    0.789    0.000 indexing.py:1366(create_mask)
    47445    0.079    0.000    0.780    0.000 dataset.py:1559(__getitem__)
        1    0.000    0.000    0.773    0.773 figure.py:1(<module>)
       17    0.001    0.000    0.772    0.045 _base.py:2943(_update_title_position)
        4    0.000    0.000    0.771    0.193 legend.py:1070(get_tightbbox)
     8256    0.038    0.000    0.770    0.000 artist.py:772(set_clip_path)
   362168    0.371    0.000    0.756    0.000 variable.py:259(as_compatible_data)
3840594/3246459    0.543    0.000    0.739    0.000 {built-in method builtins.len}
1196/1190    0.002    0.000    0.737    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
     8283    0.011    0.000    0.733    0.000 backend_agg.py:95(draw_path)
    12947    0.008    0.000    0.731    0.000 indexing.py:365(__getitem__)
    65873    0.148    0.000    0.729    0.000 indexes.py:1581(group_by_index)
    12947    0.699    0.000    0.723    0.000 indexing.py:1499(_oindex_get)
        3    0.000    0.000    0.721    0.240 generic.py:1(<module>)
     8283    0.416    0.000    0.713    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  118/117    0.000    0.000    0.712    0.006 <frozen importlib._bootstrap_external>:1287(create_module)
  118/117    0.684    0.006    0.711    0.006 {built-in method _imp.create_dynamic}
   107012    0.426    0.000    0.711    0.000 variable.py:2989(calculate_dimensions)
   762109    0.456    0.000    0.706    0.000 copy.py:61(copy)
    39694    0.043    0.000    0.691    0.000 indexes.py:578(__init__)
      100    0.001    0.000    0.684    0.007 axis.py:1311(_get_ticklabel_bboxes)
    39121    0.290    0.000    0.652    0.000 merge.py:196(merge_collected)
   172875    0.383    0.000    0.650    0.000 indexes.py:1423(__init__)
    38258    0.050    0.000    0.646    0.000 variable.py:2740(copy)
       50    0.000    0.000    0.643    0.013 axis.py:2143(_get_tick_boxes_siblings)
