Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
         150882364 function calls (150788378 primitive calls) in 186.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1879    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.018    0.018 geo.py:1(<module>)
     3873    0.017    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
    13198    0.008    0.000    0.018    0.000 event.py:243(notify)
       54    0.000    0.000    0.018    0.000 postproc.py:42(usedefs)
     2929    0.002    0.000    0.018    0.000 ffi.py:72(__enter__)
        1    0.000    0.000    0.017    0.017 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.017    0.017 duck_array_ops.py:1(<module>)
        2    0.000    0.000    0.017    0.009 hashing.py:1(<module>)
     9980    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
      463    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
      216    0.001    0.000    0.017    0.000 _itertools.py:4(unique_everseen)
       25    0.000    0.000    0.017    0.001 castgraph.py:131(unsafe)
        1    0.000    0.000    0.017    0.017 alignment.py:1(<module>)
       17    0.000    0.000    0.017    0.001 lowering.py:726(lower_binop)
       12    0.000    0.000    0.017    0.001 registry.py:54(apply)
        6    0.000    0.000    0.017    0.003 untyped_passes.py:79(run_pass)
        6    0.000    0.000    0.017    0.003 interpreter.py:1361(interpret)
      143    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
    25/23    0.000    0.000    0.016    0.001 __init__.py:10(__getattr__)
        1    0.000    0.000    0.016    0.016 axis.py:1(<module>)
        1    0.000    0.000    0.016    0.016 entrypoints.py:1(<module>)
    19324    0.007    0.000    0.016    0.000 utils.py:515(stream_list)
        1    0.000    0.000    0.016    0.016 offsetbox.py:1(<module>)
27324/26187    0.010    0.000    0.016    0.000 abstract.py:121(__hash__)
     2517    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:162(__enter__)
      154    0.016    0.000    0.016    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.016    0.016 _pickle.py:1(<module>)
1655/1466    0.001    0.000    0.016    0.000 contextlib.py:132(__enter__)
      143    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      973    0.001    0.000    0.016    0.000 __init__.py:711(__setitem__)
     9412    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      239    0.001    0.000    0.015    0.000 extending.py:207(decorate)
     2333    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.015    0.015 _basic.py:1(<module>)
        1    0.000    0.000    0.015    0.015 variable.py:1(<module>)
        1    0.000    0.000    0.015    0.015 dask_array_ops.py:1(<module>)
        1    0.000    0.000    0.015    0.015 py3k.py:1(<module>)
       14    0.000    0.000    0.015    0.001 arrayobj.py:480(getitem_arraynd_intp)
        1    0.000    0.000    0.015    0.015 tutorial.py:1(<module>)
    41114    0.010    0.000    0.015    0.000 {method 'get' of 'dict' objects}
