tidal_phasing,wind_phasing,diatom_biomass,hab_biomass
2.0,10.5,0.21365687399697142,0.4269202804416439
4.0,13.0,0.21361376893976006,0.42691161499738883
4.5,14.0,0.21364276831779214,0.42692514656275526
5.5,3.0,0.2139764097973163,0.42672204415811926
5.5,6.0,0.21396981153592906,0.42685228197848396
2.0,12.5,0.21365526646906471,0.42691964486592493
2.0,4.5,0.21362926615423142,0.4266708193797014
4.0,20.0,0.21360053167890403,0.4269317442138554
4.0,5.0,0.2136048951611374,0.42669098409267264
2.0,4.0,0.21361187463389608,0.4266564866070301
1.5,19.0,0.21366092522837377,0.4269278804698853
5.0,0.5,0.21386349316799202,0.42674292540118186
5.0,7.0,0.21381301465871935,0.42684241180742943
5.0,16.5,0.21374611656579282,0.42696468502584883
5.5,13.5,0.21391883302426057,0.42702147388533396
3.0,7.5,0.21368418215045878,0.4268153649094695
1.0,9.0,0.21372891498108168,0.4268979666409207
2.0,16.0,0.21365170069191974,0.4269196448656783
3.0,19.5,0.21361095321661971,0.4269205023137314
0.0,14.5,0.21370783869671012,0.42694553178867983
3.0,15.0,0.21362407796761174,0.42691085387745203
5.5,14.5,0.2139178875022104,0.42702147388532197
3.5,17.5,0.2136093825004789,0.42690899828897794
2.0,8.5,0.2137095763609202,0.4268713020693269
4.0,4.5,0.21358324608838436,0.42667923933556406
5.0,22.5,0.2139290735209169,0.4268623484438083
5.5,3.5,0.21400897368760063,0.42673561851959624
1.5,18.5,0.21366376965726985,0.42692508993811
1.0,15.5,0.21368461290226334,0.4269306400071877
1.5,17.0,0.21366622551084935,0.426924990791341
1.5,4.5,0.21364622792139468,0.4266748736523835
5.5,8.5,0.2139773934612817,0.4269683336198081
3.5,18.0,0.21360861335132292,0.42690899828894247
5.0,5.0,0.21379098677757843,0.4267591916200619
4.0,22.0,0.21377633807777766,0.4268634462304755
2.0,11.5,0.21365551160406995,0.4269196440308327
1.0,19.5,0.21368062987342437,0.4269388429312777
4.5,0.0,0.21383929552868403,0.42675942500428876
3.5,10.0,0.21363861817719462,0.4268981350955141
4.0,2.0,0.21369091143860772,0.42666710277191433
1.0,18.0,0.21368076756132712,0.4269306400070004
5.5,18.5,0.2139156572585187,0.4270255458225932
4.5,18.0,0.21363709528428987,0.42692514656254527
2.5,14.0,0.21363969270722585,0.4269145470654628
5.5,11.5,0.2139188088505345,0.4270217865616553
2.0,2.5,0.2135985052722632,0.4266394448663673
4.5,9.5,0.21367972530239804,0.4269030221568503
4.5,4.0,0.21370546030768742,0.4266912973705913
4.0,23.5,0.2137917680953637,0.42677734831730846
0.5,15.0,0.21369937087055516,0.4269368000623311
1.5,16.5,0.21366699132707437,0.4269249907914233
3.0,4.5,0.21359326436095527,0.42666719267479664
2.0,20.5,0.21366322822417647,0.4269095228630219
5.0,3.5,0.21387200255742822,0.4267079939325361
3.5,12.5,0.21361532262480382,0.4269089982892638
5.0,0.0,0.21388828822911032,0.42677009601378957
1.5,21.5,0.213711013078301,0.4268687668905064
5.5,1.5,0.21391326513826212,0.4267201112371193
2.5,9.5,0.21366967329775055,0.42689441311064036
3.0,1.0,0.21363329673921388,0.42667818201311575
0.5,23.0,0.2137354927070463,0.4267874736601614
0.5,14.5,0.21369991317498951,0.4269368000623481
2.5,17.5,0.21363476496717426,0.426914547065186
0.5,6.0,0.21373905559357526,0.4267592580584626
2.5,20.5,0.2136443537492027,0.42690672697996035
4.5,5.0,0.21363529718743693,0.4267149915711829
5.0,19.5,0.2137863982371415,0.4269885084867294
3.0,18.0,0.21361952713148258,0.4269108538771859
5.5,2.5,0.21394441512010273,0.42671453458262754
1.5,16.0,0.2136677925059381,0.4269249907914295
1.5,20.5,0.21368328565788816,0.4269132062009479
2.0,13.0,0.21365500726208367,0.4269196448658904
0.0,22.5,0.2137525788546848,0.42681935416724487
3.0,17.5,0.21362028984854786,0.42691085387731514
0.5,13.0,0.21370078346098362,0.4269368000623828
3.0,11.0,0.21362450795895,0.4269123352495624
5.5,0.5,0.21392713615344605,0.42675630210598536
1.0,2.0,0.2136290795032156,0.4266485559858542
3.5,10.5,0.21362574566449613,0.42690682469229957
3.5,9.0,0.21366380070341026,0.42687314372482105
1.0,2.5,0.21362594333990573,0.4266436375792619
5.5,9.0,0.21397894650785132,0.4269867213890256
2.5,1.0,0.21362659322047856,0.4266749625071409
2.5,8.5,0.21369390846161973,0.4268660478663863
1.5,4.0,0.21363069498143328,0.42665962267020957
1.0,13.0,0.21368693239085254,0.42693064000734304
3.5,21.0,0.213654901688159,0.42689672740008516
5.0,20.5,0.2138915664605217,0.4269677902139751
5.0,23.5,0.21390660440573833,0.4268022010988614
5.0,5.5,0.2137860528648311,0.42677400144548244
5.0,9.5,0.2137887212141733,0.4269419300947691
1.0,23.0,0.21372567826163197,0.4267846599898381
4.0,15.0,0.213611891207395,0.42691161499734737
1.0,5.0,0.21368557399317384,0.42670035295427533
5.0,11.0,0.21375021771867547,0.42696545816159526
