pmax,ws
0.1461875,-4.166666666666667e-06
0.1461875,-3.3333333333333333e-06
0.1461875,-2.4999999999999998e-06
0.1461875,-1.666666666666667e-06
0.1461875,-8.333333333333327e-07
0.1461875,0.0
0.1461875,8.333333333333344e-07
0.1461875,1.666666666666667e-06
0.1461875,2.5000000000000015e-06
0.1461875,3.333333333333334e-06
0.1461875,4.166666666666667e-06
0.1461875,5.000000000000001e-06
0.1461875,5.833333333333336e-06
0.1461875,6.666666666666667e-06
0.1461875,7.500000000000001e-06
0.1461875,8.333333333333335e-06
0.1461875,9.16666666666667e-06
0.1461875,1e-05
0.167,-1e-05
0.167,-9.166666666666668e-06
0.167,-8.333333333333334e-06
0.167,-7.500000000000001e-06
0.167,-6.666666666666667e-06
0.167,-5.833333333333334e-06
0.167,-5e-06
0.167,-4.166666666666667e-06
0.167,-3.3333333333333333e-06
0.167,-2.4999999999999998e-06
0.167,-1.666666666666667e-06
0.167,-8.333333333333327e-07
0.167,0.0
0.167,8.333333333333344e-07
0.167,1.666666666666667e-06
0.167,2.5000000000000015e-06
0.167,3.333333333333334e-06
0.167,4.166666666666667e-06
0.167,5.000000000000001e-06
0.167,5.833333333333336e-06
0.167,6.666666666666667e-06
0.167,7.500000000000001e-06
0.167,8.333333333333335e-06
0.167,9.16666666666667e-06
0.167,1e-05
0.18781250000000002,-1e-05
0.18781250000000002,-9.166666666666668e-06
0.18781250000000002,-8.333333333333334e-06
0.18781250000000002,-7.500000000000001e-06
0.18781250000000002,-6.666666666666667e-06
0.18781250000000002,-5.833333333333334e-06
0.18781250000000002,-5e-06
0.18781250000000002,-4.166666666666667e-06
0.18781250000000002,-3.3333333333333333e-06
0.18781250000000002,-2.4999999999999998e-06
0.18781250000000002,-1.666666666666667e-06
0.18781250000000002,-8.333333333333327e-07
0.18781250000000002,0.0
0.18781250000000002,8.333333333333344e-07
0.18781250000000002,1.666666666666667e-06
0.18781250000000002,2.5000000000000015e-06
0.18781250000000002,3.333333333333334e-06
0.18781250000000002,4.166666666666667e-06
0.18781250000000002,5.000000000000001e-06
0.18781250000000002,5.833333333333336e-06
0.18781250000000002,6.666666666666667e-06
0.18781250000000002,7.500000000000001e-06
0.18781250000000002,8.333333333333335e-06
